    YY |    DDD |  Pos-R [mm] |  SVN |  Pos-A [mm] |  SVN |  Pos-C [mm] |  SVN |  Vel-R [mm/s] |  SVN |  Vel-A [mm/s] |  SVN |  Vel-C [mm/s] |  SVN |  North [mm] |  Station |  East [mm] |  Station |  Up [mm] |  Station |  ERP-X [μas] |  ERP-Y [μas] |  ERP-LOD [μs]
    26 |     67 |        0.00 |    1 |        0.20 |  115 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     AMU2 |       0.06 |     ARHT |    -0.04 |     DGAR |     4.00e-01 |    -9.90e-01 |     -1.00e-03
    26 |     68 |        0.00 |    1 |        0.10 |    6 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.01 |     ABMF |       0.01 |     AC24 |     0.02 |     AIRA |    -1.10e-01 |     4.50e-01 |      1.00e-03
    26 |     69 |        0.10 |    1 |        0.20 |    7 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.08 |     CORD |       0.10 |     PTVL |     0.78 |     THTI |    -7.50e-01 |    -7.00e-02 |     -4.90e-02
    26 |     70 |        0.00 |    1 |        0.10 |    2 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     ANTC |       0.05 |     AUCK |     0.06 |     AIRA |     9.20e-01 |    -6.70e-01 |     -5.00e-03
    26 |     71 |        0.00 |    1 |        0.10 |    6 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.03 |     AMU2 |       0.03 |     ARHT |     0.02 |     ABMF |     7.00e-02 |    -3.00e-01 |      1.00e-03
    26 |     72 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     AMU2 |       0.04 |     CHTI |    -0.04 |     WUHN |    -1.06e+00 |    -8.30e-01 |      0.00e+00
    26 |     73 |        0.00 |    2 |        0.50 |  213 |        0.40 |    2 |          0.00 |    2 |          0.00 |    2 |          0.00 |    2 |       -0.07 |     RESO |       0.13 |     CKIS |     0.05 |     ABMF |    -9.00e-01 |     7.70e-01 |     -4.00e-03
    26 |     74 |        0.00 |    1 |        0.10 |    1 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.04 |     ALRT |       0.05 |     ASPA |    -0.04 |     PIMO |    -5.50e-01 |    -2.00e-02 |      2.00e-03
    26 |     75 |        0.00 |    1 |        0.20 |    7 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.02 |     AC24 |      -0.03 |     CHAN |    -0.04 |     MAUI |    -2.00e-02 |    -2.40e-01 |     -1.00e-03
    26 |     76 |        0.00 |    1 |        0.30 |    7 |        0.30 |  213 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     BADG |       0.09 |     HNLC |     0.04 |     ABMF |    -1.11e+00 |     9.90e-01 |     -4.00e-03
    26 |     77 |        0.00 |    1 |        0.20 |   18 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     BJFS |       0.06 |     BREW |     0.03 |     ABMF |     9.60e-01 |    -3.00e-02 |     -3.00e-03
    26 |     78 |        0.00 |    1 |        0.10 |    1 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     AMU2 |       0.04 |     ABPO |     0.03 |     AIRA |     7.50e-01 |     5.70e-01 |     -1.00e-03
    26 |     79 |        0.00 |    1 |        0.10 |    2 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     STHL |       0.03 |     CAS1 |     0.05 |     THTI |     1.25e+00 |     1.80e-01 |     -3.00e-03
    26 |     80 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     BAKE |      -0.03 |     BELE |     0.03 |     PTVL |     2.10e-01 |     5.60e-01 |      0.00e+00
    26 |     81 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     ALGO |       0.03 |     AC24 |     0.04 |     THTI |    -2.00e-01 |     9.70e-01 |     -2.00e-03
    26 |     82 |        0.00 |    1 |        0.30 |    2 |        0.30 |    3 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.07 |     GAMB |       0.10 |     ANTC |     0.05 |     LPGS |    -1.97e+00 |     2.26e+00 |     -2.00e-03
    26 |     83 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     CAS1 |      -0.03 |     ASPA |     0.05 |     THTI |     4.60e-01 |     4.40e-01 |     -5.00e-03
    26 |     84 |        0.00 |    1 |        0.30 |    3 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.02 |     AC24 |       0.05 |     ABPO |    -0.03 |     FUNC |     2.60e-01 |     3.10e-01 |     -1.00e-03
    26 |     85 |        0.00 |    1 |        0.30 |    7 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.04 |     DRAO |       0.07 |     AIRA |     0.11 |     THTI |    -8.00e-01 |    -9.00e-02 |     -3.00e-03
    26 |     86 |        0.00 |    1 |        0.20 |    6 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     CAS1 |       0.06 |     ASPA |     0.11 |     THTI |    -2.00e-01 |    -8.90e-01 |     -5.00e-03
    26 |     87 |        0.00 |    1 |        0.10 |    1 |        0.10 |  202 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     ARHT |       0.05 |     AMU2 |     0.03 |     ACRG |    -1.02e+00 |     6.80e-01 |      0.00e+00
    26 |     88 |        0.00 |    1 |        0.20 |    7 |        0.20 |  108 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     AMU2 |       0.07 |     ASPA |     0.07 |     POAL |    -1.26e+00 |    -2.10e-01 |     -1.00e-03
    26 |     89 |        0.00 |    1 |        0.30 |  203 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     AMU2 |       0.08 |     ASPA |     0.04 |     THTI |    -1.60e-01 |    -7.80e-01 |      2.00e-03
    26 |     90 |        0.00 |    1 |        0.20 |   16 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     RIO2 |       0.05 |     ASPA |     0.06 |     THTI |    -1.20e-01 |    -5.00e-02 |      1.00e-03
    26 |     91 |        0.00 |    1 |        0.20 |    5 |        0.20 |  236 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.04 |     ARHT |       0.06 |     ANTC |    -0.11 |     ADIS |    -1.47e+00 |     2.50e-01 |     -4.00e-03
    26 |     92 |        0.00 |    1 |        0.20 |    5 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.03 |     AIRA |      -0.05 |     BOAV |     0.03 |     WUHN |     5.60e-01 |     9.80e-01 |     -1.00e-03
    26 |     93 |        0.00 |    1 |        0.20 |    1 |        0.20 |  105 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.06 |     ARHT |       0.08 |     ISPA |    -0.06 |     ADIS |    -1.31e+00 |     2.10e-01 |      1.00e-03
    26 |     94 |        0.00 |    1 |        0.20 |   32 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     ARHT |       0.06 |     ISPA |     0.05 |     WUHN |    -1.34e+00 |     5.80e-01 |      0.00e+00
    26 |     95 |        0.00 |    1 |        0.20 |  216 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.01 |     ABPO |      -0.02 |     ABMF |    -0.06 |     ADIS |    -1.10e-01 |     2.70e-01 |     -4.00e-03
    26 |     96 |        0.00 |    1 |        0.10 |    5 |        0.10 |    6 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     ARHT |       0.03 |     AMU2 |    -0.03 |     ADIS |    -1.17e+00 |     2.80e-01 |     -5.00e-03
    26 |     97 |        0.00 |    1 |        0.20 |    4 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.03 |     HNUS |      -0.05 |     ABPO |    -0.02 |     ADIS |    -8.20e-01 |     5.60e-01 |      1.00e-03
    26 |     98 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.02 |     ABPO |      -0.02 |     ARHT |    -0.05 |     ADIS |    -3.40e-01 |     8.20e-01 |     -3.00e-03
    26 |     99 |        0.00 |    1 |        0.20 |    3 |        0.20 |  207 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.06 |     SYOG |      -0.08 |     AREG |    -0.06 |     BSHM |     8.40e-01 |     8.00e-02 |     -2.00e-03
    26 |    100 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.04 |     ARHT |      -0.05 |     DAV1 |    -0.04 |     GUUG |    -1.08e+00 |     5.20e-01 |      3.00e-03
    26 |    101 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     IRKJ |      -0.04 |     BBYS |    -0.07 |     ADIS |    -2.50e-01 |     3.00e-01 |      2.00e-03
    26 |    102 |        0.00 |    1 |        0.10 |    3 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     PALM |      -0.05 |     ABPO |     0.04 |     ABMF |     1.10e-01 |    -7.60e-01 |      3.00e-03
    26 |    103 |        0.00 |    1 |        0.20 |    4 |        0.20 |  104 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     NOVM |      -0.08 |     ACRG |    -0.07 |     ADIS |    -7.10e-01 |     5.30e-01 |      1.00e-03
    26 |    104 |        0.00 |    1 |        0.20 |    2 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.06 |     ARHT |       0.07 |     GAMB |     0.05 |     RDSD |    -1.48e+00 |     0.00e+00 |      6.00e-03
    26 |    105 |        0.10 |    5 |        0.20 |    3 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.23 |     GUAM |       0.14 |     MAW1 |     1.78 |     GUAM |     3.41e+00 |     2.96e+00 |     -1.10e-02
